CAN Message; 0x24:06147f762768e16b
Timestamp;Amplitude
1739209797.3953683;-35.57807855764607
1739209797.3953705;-45.120503652039325
1739209797.3953724;-35.57807855764607
1739209797.3953745;-35.57807855764607
1739209797.3953764;-45.120503652039325
1739209797.3953786;-45.120503652039325
1739209797.3953805;-32.816014438256545
1739209797.3953826;-38.13080360867914
1739209797.3953846;-45.120503652039325
1739209797.3953867;-38.13080360867914
1739209797.3953886;-32.816014438256545
1739209797.3953907;-33.981070128970906
1739209797.3953927;-45.120503652039325
1739209797.3953948;-31.141103565318915
1739209797.3953967;-31.141103565318893
1739209797.3953989;-45.120503652039325
1739209797.3954008;-33.981070128970956
1739209797.395403;-45.120503652039325
1739209797.3954048;-38.13080360867914
1739209797.395407;-38.13080360867914
1739209797.3954089;-45.120503652039325
1739209797.395411;-38.13080360867914
1739209797.395413;-38.13080360867914
1739209797.395415;-38.13080360867914
1739209797.395417;-27.8777449560314
1739209797.3954191;-38.13080360867914
1739209797.395421;-38.13080360867914
1739209797.3954232;-38.13080360867914
1739209797.395425;-38.13080360867914
1739209797.3954272;-38.13080360867914
1739209797.3954291;-38.13080360867914
1739209797.3954313;-45.120503652039325
1739209797.3954332;-38.13080360867914
1739209797.3954353;-38.13080360867914
1739209797.3954372;-38.13080360867914
1739209797.3954394;-38.13080360867914
1739209797.3954413;-45.120503652039325
1739209797.3954434;-38.13080360867914
1739209797.3954453;-35.57807855764607
1739209797.3954473;-45.120503652039325
1739209797.3954494;-30.49652367304973
1739209797.3954513;-33.981070128970906
1739209797.3954535;-45.120503652039325
1739209797.3954554;-38.13080360867914
1739209797.3954575;-32.816014438256545
1739209797.3954594;-45.120503652039325
1739209797.3954616;-45.120503652039325
1739209797.3954635;-38.13080360867914
1739209797.3954656;-38.13080360867914
1739209797.3954675;-45.120503652039325
1739209797.3954697;-45.120503652039325
1739209797.3954716;-38.13080360867914
1739209797.3954737;-30.49652367304973
1739209797.3954756;-33.981070128970906
1739209797.3954778;-45.120503652039325
1739209797.3954797;-33.981070128970906
1739209797.3954818;-38.13080360867914
1739209797.3954837;-45.120503652039325
1739209797.3954859;-38.13080360867914
1739209797.3954878;-45.120503652039325
1739209797.39549;-45.120503652039325
1739209797.3954918;-33.981070128970906
1739209797.395494;-35.57807855764607
1739209797.395496;-38.13080360867914
1739209797.395498;-32.816014438256545
1739209797.3955;-38.13080360867914
1739209797.395502;-45.120503652039325
1739209797.395504;-38.13080360867914
1739209797.3955061;-38.13080360867914
1739209797.395508;-38.13080360867914
1739209797.3955102;-45.120503652039325
1739209797.395512;-45.120503652039325
1739209797.3955142;-45.120503652039325
1739209797.3955162;-38.13080360867914
1739209797.3955183;-35.57807855764607
1739209797.3955202;-38.13080360867914
1739209797.3955224;-38.13080360867914
1739209797.3955243;-45.120503652039325
1739209797.3955262;-38.13080360867914
1739209797.3955283;-38.13080360867914
1739209797.3955302;-38.13080360867914
1739209797.3955324;-32.816014438256545
1739209797.3955343;-38.13080360867914
1739209797.3955364;-38.13080360867914
1739209797.3955383;-45.120503652039325
1739209797.3955405;-31.141103565318915
1739209797.3955424;-38.13080360867914
1739209797.3955445;-45.120503652039325
1739209797.3955464;-45.120503652039325
1739209797.3955486;-38.13080360867914
1739209797.3955505;-38.13080360867914
1739209797.3955526;-38.13080360867914
1739209797.3955545;-45.120503652039325
1739209797.3955567;-35.57807855764607
1739209797.3955586;-38.13080360867914
1739209797.3955607;-38.13080360867914
1739209797.3955626;-38.13080360867914
1739209797.3955648;-45.120503652039325
1739209797.3955667;-45.120503652039325
1739209797.3955688;-38.13080360867914
1739209797.3955708;-35.57807855764607
1739209797.395573;-38.13080360867914
1739209797.3955748;-38.13080360867914
1739209797.395577;-38.13080360867914
1739209797.3955789;-33.981070128970906
1739209797.395581;-32.816014438256545
1739209797.395583;-33.981070128970906
1739209797.395585;-45.120503652039325
1739209797.395587;-45.120503652039325
1739209797.395589;-38.13080360867914
1739209797.395591;-45.120503652039325
1739209797.3955932;-38.13080360867914
1739209797.395595;-35.57807855764607
1739209797.3955972;-35.57807855764607
1739209797.3955991;-45.120503652039325
1739209797.3956013;-33.981070128970906
1739209797.3956032;-38.13080360867914
1739209797.3956053;-45.120503652039325
1739209797.3956072;-45.120503652039325
1739209797.3956091;-38.13080360867914
1739209797.3956113;-38.13080360867914
1739209797.3956132;-38.13080360867914
1739209797.3956153;-45.120503652039325
1739209797.3956172;-33.981070128970906
1739209797.3956194;-32.816014438256545
1739209797.3956213;-38.13080360867914
1739209797.3956234;-38.13080360867914
1739209797.3956254;-45.120503652039325
1739209797.3956275;-38.13080360867914
1739209797.3956294;-38.13080360867914
1739209797.3956316;-45.120503652039325
1739209797.3956335;-45.120503652039325
1739209797.3956356;-35.57807855764607
1739209797.3956375;-32.816014438256545
1739209797.3956397;-45.120503652039325
1739209797.3956416;-38.13080360867914
1739209797.3956437;-38.13080360867914
1739209797.3956456;-38.13080360867914
