CAN Message; 0x39:0f323b8982d291a1
Timestamp;Amplitude
1739209799.1576104;-38.13080360867914
1739209799.157617;-38.13080360867914
1739209799.157624;-45.120503652039325
1739209799.1576307;-38.13080360867914
1739209799.1576374;-45.120503652039325
1739209799.157644;-38.13080360867914
1739209799.1576507;-31.141103565318893
1739209799.1576576;-45.120503652039325
1739209799.1576643;-45.120503652039325
1739209799.157671;-38.13080360867914
1739209799.1576777;-38.13080360867914
1739209799.1576843;-38.13080360867914
1739209799.1576912;-35.57807855764607
1739209799.157698;-38.13080360867914
1739209799.1577046;-45.120503652039325
1739209799.1577113;-45.120503652039325
1739209799.157718;-32.816014438256545
1739209799.1577249;-38.13080360867914
1739209799.1577315;-45.120503652039325
1739209799.1577382;-38.13080360867914
1739209799.157745;-35.57807855764607
1739209799.1577516;-38.13080360867914
1739209799.1577585;-45.120503652039325
1739209799.1577652;-38.13080360867914
1739209799.1577718;-35.57807855764607
1739209799.1577785;-38.13080360867914
1739209799.1577854;-45.120503652039325
1739209799.157792;-38.13080360867914
1739209799.1577988;-38.13080360867914
1739209799.1578054;-45.120503652039325
1739209799.157812;-26.991370085610736
1739209799.157819;-32.816014438256545
1739209799.1578257;-45.120503652039325
1739209799.1578324;-45.120503652039325
1739209799.157839;-35.57807855764607
1739209799.1578457;-45.120503652039325
1739209799.1578526;-38.13080360867914
1739209799.1578593;-38.13080360867914
1739209799.157866;-45.120503652039325
1739209799.1578727;-45.120503652039325
1739209799.1578794;-45.120503652039325
1739209799.1578863;-45.120503652039325
1739209799.157893;-35.57807855764607
1739209799.1578996;-45.120503652039325
1739209799.1579063;-45.120503652039325
1739209799.157913;-38.13080360867914
1739209799.15792;-38.13080360867914
1739209799.1579266;-38.13080360867914
1739209799.1579332;-45.120503652039325
1739209799.15794;-38.13080360867914
1739209799.1579466;-38.13080360867914
1739209799.1579535;-33.981070128970906
1739209799.1579602;-45.120503652039325
1739209799.1579669;-31.141103565318915
1739209799.1579735;-24.15140352195872
1739209799.1579802;-28.588378514285886
1739209799.157987;-28.992665084841942
1739209799.1579938;-28.992665084841942
1739209799.1580005;-27.8777449560314
1739209799.1580071;-38.13080360867914
1739209799.1580138;-35.57807855764607
1739209799.1580207;-35.57807855764607
1739209799.1580274;-45.120503652039325
1739209799.158034;-38.13080360867914
1739209799.1580408;-31.141103565318893
1739209799.1580474;-45.120503652039325
1739209799.1580544;-24.74623867263306
1739209799.158061;-22.740042620751332
1739209799.1580677;-31.141103565318915
1739209799.1580744;-35.57807855764607
1739209799.158081;-25.826314394896354
1739209799.158088;-35.57807855764607
1739209799.1580946;-31.141103565318915
1739209799.1581013;-31.141103565318893
1739209799.158108;-45.120503652039325
1739209799.158115;-33.981070128970906
1739209799.1581216;-45.120503652039325
1739209799.1581283;-33.981070128970906
1739209799.158135;-30.49652367304976
1739209799.1581416;-24.292649948874775
1739209799.1581485;-24.151403521958727
1739209799.1581552;-32.816014438256545
1739209799.1581619;-29.438486411369333
1739209799.1581686;-45.120503652039325
1739209799.1581752;-33.981070128970906
1739209799.1581821;-30.49652367304973
1739209799.1581888;-38.13080360867914
1739209799.1581955;-38.13080360867914
1739209799.1582022;-45.120503652039325
1739209799.1582088;-38.13080360867914
1739209799.1582158;-31.141103565318915
1739209799.1582224;-27.267205301931607
1739209799.158229;-28.588378514285886
1739209799.1582358;-32.816014438256545
1739209799.1582425;-33.981070128970956
1739209799.1582494;-27.877744956031417
1739209799.158256;-29.438486411369333
1739209799.1582627;-30.49652367304973
1739209799.1582694;-45.120503652039325
1739209799.158276;-38.13080360867914
1739209799.158283;-28.58837851428586
1739209799.1582897;-35.57807855764607
1739209799.1582963;-31.14110356531892
1739209799.158303;-21.300333226290604
1739209799.1583097;-23.50682362968953
1739209799.1583166;-38.13080360867914
1739209799.1583233;-33.981070128970906
1739209799.15833;-45.120503652039325
1739209799.1583366;-31.141103565318915
1739209799.1583433;-31.141103565318915
1739209799.1583502;-45.120503652039325
1739209799.158357;-33.981070128970906
1739209799.1583636;-31.141103565318893
1739209799.1583703;-38.13080360867914
1739209799.158377;-45.120503652039325
1739209799.1583838;-29.438486411369354
1739209799.1583905;-21.021172418726344
1739209799.1583972;-33.981070128970906
1739209799.1584039;-45.120503652039325
1739209799.1584105;-38.13080360867914
1739209799.1584175;-32.816014438256545
1739209799.1584241;-38.13080360867914
1739209799.1584308;-45.120503652039325
1739209799.1584375;-35.57807855764607
1739209799.1584444;-38.13080360867914
1739209799.158451;-45.120503652039325
1739209799.1584578;-33.981070128970906
1739209799.1584644;-38.13080360867914
1739209799.158471;-23.506823629689542
1739209799.158478;-24.589719217205094
1739209799.1584847;-38.13080360867914
1739209799.1584914;-31.14110356531892
1739209799.158498;-33.981070128970906
1739209799.1585047;-31.141103565318915
1739209799.1585116;-38.13080360867914
1739209799.1585183;-29.438486411369333
1739209799.158525;-45.120503652039325
1739209799.1585317;-30.49652367304973
1739209799.1585383;-28.992665084841942
1739209799.1585453;-32.81601443825658
1739209799.158552;-23.38864096791655
1739209799.1585586;-22.740042620751332
1739209799.1585653;-32.816014438256545
1739209799.158572;-26.487275050834725
1739209799.1585789;-28.992665084841942
1739209799.1585855;-35.57807855764607
1739209799.1585922;-45.120503652039325
1739209799.158599;-38.13080360867914
1739209799.1586056;-45.120503652039325
1739209799.1586125;-38.13080360867914
1739209799.1586192;-45.120503652039325
1739209799.1586258;-45.120503652039325
1739209799.1586325;-24.292649948874775
1739209799.1586392;-26.03565346325281
1739209799.158646;-29.438486411369333
1739209799.1586528;-45.120503652039325
1739209799.1586595;-33.981070128970956
1739209799.1586661;-33.981070128970906
1739209799.1586728;-45.120503652039325
1739209799.1586797;-28.992665084841942
1739209799.1586864;-27.8777449560314
1739209799.158693;-33.981070128970906
1739209799.1586998;-45.120503652039325
1739209799.1587064;-38.13080360867914
1739209799.1587133;-35.57807855764607
1739209799.15872;-38.13080360867914
1739209799.1587267;-45.120503652039325
1739209799.1587334;-38.13080360867914
1739209799.15874;-38.13080360867914
1739209799.158747;-38.13080360867914
1739209799.1587536;-38.13080360867914
1739209799.1587603;-38.13080360867914
1739209799.158767;-38.13080360867914
1739209799.158774;-45.120503652039325
1739209799.1587806;-38.13080360867914
1739209799.1587873;-45.120503652039325
1739209799.158794;-45.120503652039325
1739209799.1588006;-38.13080360867914
1739209799.1588075;-45.120503652039325
1739209799.1588142;-38.13080360867914
1739209799.1588209;-38.13080360867914
1739209799.1588275;-38.13080360867914
1739209799.1588342;-45.120503652039325
1739209799.1588411;-38.13080360867914
1739209799.1588478;-38.13080360867914
1739209799.1588545;-45.120503652039325
1739209799.1588612;-45.120503652039325
1739209799.1588678;-38.13080360867914
1739209799.1588748;-45.120503652039325
1739209799.1588814;-45.120503652039325
1739209799.158888;-45.120503652039325
1739209799.1588948;-45.120503652039325
1739209799.1589015;-45.120503652039325
1739209799.1589084;-45.120503652039325
1739209799.158915;-38.13080360867914
1739209799.1589217;-38.13080360867914
1739209799.1589284;-45.120503652039325
1739209799.158935;-45.120503652039325
1739209799.158942;-31.141103565318893
1739209799.1589487;-45.120503652039325
1739209799.1589553;-38.13080360867914
1739209799.158962;-35.57807855764607
1739209799.1589687;-38.13080360867914
1739209799.1589756;-38.13080360867914
1739209799.1589823;-45.120503652039325
1739209799.158989;-38.13080360867914
1739209799.1589956;-45.120503652039325
1739209799.1590023;-38.13080360867914
1739209799.1590092;-45.120503652039325
1739209799.159016;-45.120503652039325
1739209799.1590226;-35.57807855764607
1739209799.1590292;-38.13080360867914
1739209799.159036;-38.13080360867914
1739209799.1590428;-45.120503652039325
1739209799.16449;-38.13080360867914
1739209799.1644905;-32.816014438256545
1739209799.1644907;-38.13080360867914
1739209799.1644912;-45.120503652039325
1739209799.1644917;-45.120503652039325
1739209799.1644921;-35.57807855764607
1739209799.1644926;-32.816014438256545
1739209799.164493;-45.120503652039325
1739209799.1644933;-38.13080360867914
1739209799.1644938;-33.981070128970906
1739209799.1644943;-45.120503652039325
1739209799.1644948;-45.120503652039325
1739209799.1644952;-35.57807855764607
1739209799.1644955;-45.120503652039325
1739209799.164496;-38.13080360867914
1739209799.1644964;-33.981070128970906
1739209799.164497;-38.13080360867914
1739209799.1644974;-45.120503652039325
1739209799.1644979;-45.120503652039325
1739209799.164498;-33.981070128970906
1739209799.1644986;-38.13080360867914
1739209799.164499;-30.49652367304973
1739209799.1644995;-30.49652367304973
1739209799.1645;-45.120503652039325
1739209799.1645005;-38.13080360867914
1739209799.1645007;-45.120503652039325
1739209799.1645012;-45.120503652039325
1739209799.1645017;-38.13080360867914
1739209799.1645021;-35.57807855764607
1739209799.1645026;-45.120503652039325
1739209799.1645029;-45.120503652039325
1739209799.1645033;-38.13080360867914
1739209799.1645038;-45.120503652039325
1739209799.1645043;-35.57807855764607
1739209799.1645048;-38.13080360867914
1739209799.1645052;-45.120503652039325
1739209799.1645055;-35.57807855764607
1739209799.164506;-45.120503652039325
1739209799.1645064;-45.120503652039325
1739209799.164507;-45.120503652039325
1739209799.1645074;-45.120503652039325
1739209799.1645076;-45.120503652039325
1739209799.164508;-38.13080360867914
1739209799.1645086;-32.816014438256545
1739209799.164509;-45.120503652039325
1739209799.1645095;-33.981070128970906
1739209799.16451;-33.981070128970906
1739209799.1645103;-45.120503652039325
1739209799.1645107;-38.13080360867914
1739209799.1645112;-38.13080360867914
1739209799.1645117;-38.13080360867914
1739209799.1645122;-45.120503652039325
1739209799.1645124;-38.13080360867914
1739209799.1645129;-38.13080360867914
1739209799.1645133;-45.120503652039325
1739209799.1645138;-45.120503652039325
1739209799.1645143;-45.120503652039325
1739209799.1645148;-45.120503652039325
1739209799.164515;-45.120503652039325
1739209799.1645155;-45.120503652039325
1739209799.164516;-45.120503652039325
1739209799.1645164;-45.120503652039325
1739209799.164517;-38.13080360867914
1739209799.1645174;-38.13080360867914
1739209799.1645176;-45.120503652039325
1739209799.164518;-38.13080360867914
1739209799.1645186;-45.120503652039325
1739209799.164519;-38.13080360867914
1739209799.1645195;-38.13080360867914
1739209799.1645198;-38.13080360867914
1739209799.1645203;-33.981070128970906
1739209799.1645207;-45.120503652039325
1739209799.1645212;-38.13080360867914
1739209799.1645217;-33.981070128970906
1739209799.1645222;-45.120503652039325
1739209799.1645224;-38.13080360867914
1739209799.164523;-35.57807855764607
1739209799.1645234;-45.120503652039325
1739209799.1645238;-45.120503652039325
1739209799.1645243;-35.57807855764607
1739209799.1645246;-38.13080360867914
1739209799.164525;-38.13080360867914
1739209799.1645255;-45.120503652039325
1739209799.164526;-38.13080360867914
1739209799.1645265;-32.816014438256545
1739209799.164527;-33.981070128970906
1739209799.1645272;-45.120503652039325
1739209799.1645277;-33.981070128970906
1739209799.1645281;-45.120503652039325
1739209799.1645286;-45.120503652039325
1739209799.164529;-38.13080360867914
1739209799.1645293;-38.13080360867914
1739209799.1645298;-38.13080360867914
1739209799.1645303;-45.120503652039325
1739209799.1645308;-38.13080360867914
1739209799.1645312;-33.981070128970906
1739209799.1645317;-45.120503652039325
1739209799.164532;-38.13080360867914
1739209799.1645324;-38.13080360867914
1739209799.164533;-38.13080360867914
1739209799.1645334;-45.120503652039325
1739209799.1645339;-45.120503652039325
1739209799.164534;-38.13080360867914
1739209799.1645346;-45.120503652039325
1739209799.164535;-45.120503652039325
1739209799.1645355;-35.57807855764607
1739209799.164536;-35.57807855764607
1739209799.1645365;-45.120503652039325
1739209799.1645367;-45.120503652039325
1739209799.1645372;-45.120503652039325
1739209799.1645377;-38.13080360867914
1739209799.1645381;-33.981070128970906
1739209799.1645386;-45.120503652039325
1739209799.164539;-45.120503652039325
1739209799.1645393;-38.13080360867914
1739209799.1645398;-38.13080360867914
1739209799.1645403;-45.120503652039325
1739209799.1645408;-38.13080360867914
1739209799.1645412;-38.13080360867914
1739209799.1645415;-31.141103565318915
1739209799.164542;-45.120503652039325
1739209799.1645424;-38.13080360867914
1739209799.164543;-38.13080360867914
1739209799.1645434;-45.120503652039325
1739209799.1645439;-35.57807855764607
1739209799.164544;-38.13080360867914
1739209799.1645446;-38.13080360867914
1739209799.164545;-30.49652367304973
1739209799.1645455;-45.120503652039325
1739209799.164546;-45.120503652039325
1739209799.1645463;-45.120503652039325
1739209799.1645467;-38.13080360867914
1739209799.1645472;-38.13080360867914
1739209799.1645477;-38.13080360867914
1739209799.1645482;-45.120503652039325
1739209799.1645486;-45.120503652039325
1739209799.1645489;-45.120503652039325
1739209799.1645494;-45.120503652039325
1739209799.1645498;-45.120503652039325
1739209799.1645503;-38.13080360867914
