CAN Message; 0x1d3:00004b26ad21d818
Timestamp;Amplitude
1739209807.0924647;-38.13080360867914
1739209807.0924706;-35.57807855764607
1739209807.0924764;-45.120503652039325
1739209807.092482;-45.120503652039325
1739209807.0924878;-38.13080360867914
1739209807.0924938;-29.438486411369333
1739209807.0924995;-45.120503652039325
1739209807.0925052;-45.120503652039325
1739209807.092511;-45.120503652039325
1739209807.092517;-33.981070128970906
1739209807.0925226;-38.13080360867914
1739209807.0925283;-45.120503652039325
1739209807.0925343;-38.13080360867914
1739209807.09254;-45.120503652039325
1739209807.0925457;-45.120503652039325
1739209807.0925515;-38.13080360867914
1739209807.0925574;-38.13080360867914
1739209807.0925632;-45.120503652039325
1739209807.0925689;-38.13080360867914
1739209807.0925748;-45.120503652039325
1739209807.0925806;-45.120503652039325
1739209807.0925863;-38.13080360867914
1739209807.092592;-35.57807855764607
1739209807.092598;-38.13080360867914
1739209807.0926037;-45.120503652039325
1739209807.0926094;-33.981070128970906
1739209807.0926151;-38.13080360867914
1739209807.092621;-45.120503652039325
1739209807.0926268;-45.120503652039325
1739209807.0926325;-33.981070128970906
1739209807.0926385;-33.981070128970906
1739209807.0926442;-38.13080360867914
1739209807.09265;-45.120503652039325
1739209807.0926557;-45.120503652039325
1739209807.0926616;-33.981070128970906
1739209807.0926673;-38.13080360867914
1739209807.092673;-45.120503652039325
1739209807.092679;-33.981070128970956
1739209807.0926847;-33.981070128970906
1739209807.0926905;-31.141103565318893
1739209807.0926962;-45.120503652039325
1739209807.0927022;-45.120503652039325
1739209807.0927079;-45.120503652039325
1739209807.0927136;-38.13080360867914
1739209807.0927193;-38.13080360867914
1739209807.0927253;-30.49652367304973
1739209807.092731;-38.13080360867914
1739209807.0927367;-45.120503652039325
1739209807.0927427;-45.120503652039325
1739209807.0927484;-35.57807855764607
1739209807.0927541;-45.120503652039325
1739209807.0927598;-38.13080360867914
1739209807.0927658;-45.120503652039325
1739209807.0927715;-45.120503652039325
1739209807.0927773;-38.13080360867914
1739209807.092783;-45.120503652039325
1739209807.092789;-45.120503652039325
1739209807.0927947;-38.13080360867914
1739209807.0928004;-35.57807855764607
1739209807.0928063;-45.120503652039325
1739209807.092812;-38.13080360867914
1739209807.0928178;-32.816014438256545
1739209807.0928235;-45.120503652039325
1739209807.0928295;-38.13080360867914
1739209807.0928352;-38.13080360867914
1739209807.092841;-45.120503652039325
1739209807.0928469;-45.120503652039325
1739209807.0928526;-45.120503652039325
1739209807.0928583;-38.13080360867914
1739209807.092864;-27.267205301931607
1739209807.09287;-31.141103565318915
1739209807.0928757;-45.120503652039325
1739209807.0928814;-38.13080360867914
1739209807.0928872;-33.981070128970906
1739209807.0928931;-33.981070128970906
1739209807.0928988;-45.120503652039325
1739209807.0929046;-38.13080360867914
1739209807.0929105;-38.13080360867914
1739209807.0929163;-33.981070128970906
1739209807.092922;-45.120503652039325
1739209807.0929277;-45.120503652039325
