CAN Message; 0x24:0deb045ad871c455
Timestamp;Amplitude
1739209810.253068;-45.120503652039325
1739209810.2530718;-38.13080360867914
1739209810.2530754;-45.120503652039325
1739209810.2530792;-38.13080360867914
1739209810.2530828;-32.816014438256545
1739209810.2530863;-38.13080360867914
1739209810.2530901;-38.13080360867914
1739209810.2530937;-35.57807855764607
1739209810.2530973;-38.13080360867914
1739209810.253101;-45.120503652039325
1739209810.2531047;-45.120503652039325
1739209810.2531085;-45.120503652039325
1739209810.253112;-45.120503652039325
1739209810.2531157;-28.992665084841942
1739209810.2531195;-35.57807855764607
1739209810.253123;-38.13080360867914
1739209810.2531269;-35.57807855764607
1739209810.2531304;-38.13080360867914
1739209810.253134;-38.13080360867914
1739209810.2531378;-38.13080360867914
1739209810.2531414;-38.13080360867914
1739209810.2531452;-38.13080360867914
1739209810.2531488;-35.57807855764607
1739209810.2531524;-38.13080360867914
1739209810.2531562;-45.120503652039325
1739209810.2531598;-45.120503652039325
1739209810.2531633;-45.120503652039325
1739209810.2531672;-38.13080360867914
1739209810.2531707;-33.981070128970906
1739209810.2531745;-38.13080360867914
1739209810.2531781;-45.120503652039325
1739209810.2531817;-38.13080360867914
1739209810.2531855;-38.13080360867914
1739209810.253189;-38.13080360867914
1739209810.253193;-45.120503652039325
1739209810.2531965;-38.13080360867914
1739209810.2532;-32.816014438256545
1739209810.2532039;-38.13080360867914
1739209810.2532074;-45.120503652039325
1739209810.2532113;-38.13080360867914
1739209810.2532148;-31.141103565318915
1739209810.2532184;-38.13080360867914
1739209810.2532222;-45.120503652039325
1739209810.2532258;-38.13080360867914
1739209810.2532294;-33.981070128970906
1739209810.2532332;-31.141103565318915
1739209810.2532368;-38.13080360867914
1739209810.2532406;-45.120503652039325
1739209810.2532442;-45.120503652039325
1739209810.2532477;-38.13080360867914
1739209810.2532516;-45.120503652039325
1739209810.2532551;-35.57807855764607
1739209810.253259;-33.981070128970906
1739209810.2532625;-33.981070128970906
1739209810.253266;-45.120503652039325
1739209810.25327;-33.981070128970906
1739209810.2532735;-38.13080360867914
1739209810.2532773;-38.13080360867914
1739209810.2532809;-45.120503652039325
1739209810.2532845;-38.13080360867914
1739209810.2532883;-33.981070128970906
1739209810.2532918;-32.816014438256545
1739209810.2532954;-45.120503652039325
1739209810.2532992;-38.13080360867914
1739209810.2533028;-38.13080360867914
1739209810.2533066;-38.13080360867914
1739209810.2533102;-45.120503652039325
1739209810.2533138;-45.120503652039325
1739209810.2533176;-45.120503652039325
1739209810.2533212;-45.120503652039325
1739209810.253325;-38.13080360867914
1739209810.2533286;-45.120503652039325
1739209810.2533321;-45.120503652039325
1739209810.253336;-38.13080360867914
1739209810.2533395;-35.57807855764607
1739209810.2533433;-38.13080360867914
1739209810.253347;-38.13080360867914
1739209810.2533505;-27.267205301931607
1739209810.2533543;-45.120503652039325
1739209810.253358;-45.120503652039325
1739209810.2533615;-38.13080360867914
1739209810.2533653;-38.13080360867914
1739209810.2533689;-38.13080360867914
1739209810.2533727;-45.120503652039325
1739209810.2533762;-45.120503652039325
1739209810.2533798;-33.981070128970906
1739209810.2533836;-38.13080360867914
1739209810.2533872;-38.13080360867914
1739209810.253391;-45.120503652039325
1739209810.2533946;-35.57807855764607
1739209810.2533982;-38.13080360867914
1739209810.253402;-45.120503652039325
1739209810.2534056;-45.120503652039325
1739209810.2534094;-38.13080360867914
1739209810.253413;-45.120503652039325
1739209810.2534165;-38.13080360867914
1739209810.2534204;-45.120503652039325
1739209810.253424;-38.13080360867914
1739209810.2534275;-45.120503652039325
1739209810.2534313;-45.120503652039325
1739209810.253435;-38.13080360867914
1739209810.2534387;-38.13080360867914
1739209810.2534423;-45.120503652039325
1739209810.2534459;-38.13080360867914
1739209810.2534497;-32.816014438256545
1739209810.2534533;-45.120503652039325
1739209810.253457;-45.120503652039325
1739209810.2534606;-33.981070128970906
1739209810.2534642;-35.57807855764607
1739209810.253468;-45.120503652039325
1739209810.2534716;-45.120503652039325
1739209810.2534754;-38.13080360867914
1739209810.253479;-30.49652367304973
1739209810.2534826;-38.13080360867914
1739209810.2534864;-38.13080360867914
1739209810.25349;-38.13080360867914
1739209810.2534935;-38.13080360867914
1739209810.2534974;-35.57807855764607
1739209810.253501;-32.816014438256545
1739209810.2535048;-38.13080360867914
1739209810.2535083;-38.13080360867914
1739209810.253512;-45.120503652039325
1739209810.2535157;-38.13080360867914
1739209810.2535193;-33.981070128970906
1739209810.253523;-35.57807855764607
1739209810.2535267;-45.120503652039325
1739209810.2535303;-45.120503652039325
1739209810.253534;-33.981070128970906
1739209810.2535377;-35.57807855764607
1739209810.2535415;-38.13080360867914
1739209810.253545;-45.120503652039325
1739209810.2535486;-38.13080360867914
1739209810.2535524;-45.120503652039325
1739209810.253556;-35.57807855764607
1739209810.2535596;-31.141103565318893
1739209810.2535634;-45.120503652039325
1739209810.253567;-45.120503652039325
1739209810.2535708;-38.13080360867914
1739209810.2535744;-35.57807855764607
1739209810.253578;-45.120503652039325
1739209810.2535818;-45.120503652039325
1739209810.2535853;-35.57807855764607
1739209810.2535892;-38.13080360867914
1739209810.2535927;-38.13080360867914
1739209810.2535963;-38.13080360867914
1739209810.2536001;-45.120503652039325
1739209810.2536037;-38.13080360867914
1739209810.2536075;-45.120503652039325
1739209810.253611;-45.120503652039325
1739209810.2536147;-45.120503652039325
1739209810.2536185;-45.120503652039325
1739209810.253622;-35.57807855764607
1739209810.2536256;-38.13080360867914
1739209810.2536294;-38.13080360867914
1739209810.253633;-38.13080360867914
1739209810.2536368;-38.13080360867914
1739209810.2536404;-45.120503652039325
1739209810.253644;-32.816014438256545
1739209810.2536478;-25.826314394896354
1739209810.2536514;-38.13080360867914
1739209810.2536552;-45.120503652039325
1739209810.2536588;-35.57807855764607
1739209810.2536623;-35.57807855764607
1739209810.2536662;-45.120503652039325
1739209810.2536697;-45.120503652039325
1739209810.2536736;-45.120503652039325
1739209810.2536771;-38.13080360867914
1739209810.2536807;-45.120503652039325
1739209810.2536845;-45.120503652039325
1739209810.253688;-45.120503652039325
1739209810.2536917;-45.120503652039325
1739209810.2536955;-38.13080360867914
1739209810.253699;-38.13080360867914
1739209810.2537029;-38.13080360867914
1739209810.2537065;-38.13080360867914
1739209810.25371;-45.120503652039325
1739209810.2537138;-45.120503652039325
1739209810.2537174;-38.13080360867914
1739209810.2537212;-45.120503652039325
1739209810.2537248;-38.13080360867914
1739209810.2537284;-35.57807855764607
1739209810.2537322;-38.13080360867914
1739209810.2537358;-26.991370085610722
1739209810.2537396;-35.57807855764607
1739209810.2537432;-45.120503652039325
1739209810.2537467;-38.13080360867914
1739209810.2537506;-38.13080360867914
1739209810.2537541;-38.13080360867914
1739209810.2537577;-35.57807855764607
1739209810.2537615;-45.120503652039325
1739209810.253765;-33.981070128970956
1739209810.253769;-33.981070128970906
1739209810.2537725;-33.981070128970906
1739209810.253776;-45.120503652039325
1739209810.25378;-45.120503652039325
1739209810.2537835;-38.13080360867914
1739209810.2537873;-35.57807855764607
1739209810.2537909;-38.13080360867914
1739209810.2537944;-45.120503652039325
1739209810.2537982;-45.120503652039325
1739209810.2538018;-32.816014438256545
1739209810.2538056;-38.13080360867914
1739209810.2538092;-45.120503652039325
1739209810.2538128;-38.13080360867914
1739209810.2538166;-33.981070128970906
1739209810.2538202;-38.13080360867914
