CAN Message; 0x62:0148b15c5a1ac395
Timestamp;Amplitude
1739209815.7735744;-29.438486411369333
1739209815.773578;-32.816014438256545
1739209815.7735813;-45.120503652039325
1739209815.7735846;-33.981070128970906
1739209815.7735882;-45.120503652039325
1739209815.7735915;-38.13080360867914
1739209815.773595;-45.120503652039325
1739209815.7735984;-38.13080360867914
1739209815.7736018;-45.120503652039325
1739209815.7736053;-45.120503652039325
1739209815.7736087;-45.120503652039325
1739209815.773612;-45.120503652039325
1739209815.7736156;-33.981070128970906
1739209815.773619;-45.120503652039325
1739209815.7736223;-45.120503652039325
1739209815.7736259;-45.120503652039325
1739209815.7736292;-29.438486411369333
1739209815.7736328;-28.58837851428586
1739209815.773636;-45.120503652039325
1739209815.7736394;-38.13080360867914
1739209815.773643;-32.816014438256545
1739209815.7736464;-32.816014438256545
1739209815.7736497;-45.120503652039325
1739209815.7736533;-45.120503652039325
1739209815.7736566;-45.120503652039325
1739209815.77366;-45.120503652039325
1739209815.7736635;-38.13080360867914
1739209815.7736669;-38.13080360867914
1739209815.7736704;-38.13080360867914
1739209815.7736738;-45.120503652039325
1739209815.773677;-38.13080360867914
1739209815.7736807;-45.120503652039325
1739209815.773684;-30.49652367304973
1739209815.7736874;-32.816014438256545
1739209815.773691;-38.13080360867914
1739209815.7736943;-45.120503652039325
1739209815.7736976;-38.13080360867914
1739209815.7737012;-38.13080360867914
1739209815.7737045;-45.120503652039325
1739209815.7737079;-38.13080360867914
1739209815.7737114;-45.120503652039325
1739209815.7737148;-38.13080360867914
1739209815.7737184;-35.57807855764607
1739209815.7737217;-38.13080360867914
1739209815.773725;-35.57807855764607
1739209815.7737286;-35.57807855764607
1739209815.773732;-45.120503652039325
1739209815.7737353;-33.981070128970906
1739209815.7737389;-45.120503652039325
1739209815.7737422;-30.49652367304976
1739209815.7737455;-45.120503652039325
1739209815.773749;-45.120503652039325
1739209815.7737525;-33.981070128970906
1739209815.773756;-38.13080360867914
1739209815.7737594;-45.120503652039325
1739209815.7737627;-45.120503652039325
1739209815.7737663;-33.981070128970906
1739209815.7737696;-27.267205301931607
1739209815.773773;-45.120503652039325
1739209815.7737765;-38.13080360867914
1739209815.7737799;-45.120503652039325
1739209815.7737832;-45.120503652039325
1739209815.7737868;-45.120503652039325
1739209815.7737901;-45.120503652039325
1739209815.7737937;-45.120503652039325
1739209815.773797;-38.13080360867914
1739209815.7738004;-45.120503652039325
1739209815.773804;-38.13080360867914
1739209815.7738073;-38.13080360867914
1739209815.7738106;-45.120503652039325
1739209815.7738142;-38.13080360867914
1739209815.7738175;-38.13080360867914
1739209815.7738209;-38.13080360867914
1739209815.7738245;-33.981070128970906
1739209815.7738278;-45.120503652039325
1739209815.7738314;-45.120503652039325
1739209815.7738347;-38.13080360867914
1739209815.773838;-45.120503652039325
1739209815.7738416;-38.13080360867914
1739209815.773845;-38.13080360867914
1739209815.7738483;-35.57807855764607
1739209815.7738519;-31.141103565318915
1739209815.7738552;-45.120503652039325
1739209815.7738585;-38.13080360867914
1739209815.7738621;-45.120503652039325
1739209815.7738655;-38.13080360867914
1739209815.773869;-32.816014438256545
1739209815.7738724;-45.120503652039325
1739209815.7738757;-38.13080360867914
1739209815.7738793;-38.13080360867914
1739209815.7738826;-45.120503652039325
1739209815.773886;-45.120503652039325
1739209815.7738895;-45.120503652039325
1739209815.7738929;-45.120503652039325
1739209815.7738962;-38.13080360867914
1739209815.7738998;-35.57807855764607
1739209815.7739031;-45.120503652039325
1739209815.7739067;-33.981070128970906
1739209815.77391;-35.57807855764607
1739209815.7739134;-38.13080360867914
1739209815.773917;-45.120503652039325
1739209815.7739203;-33.981070128970906
1739209815.7739236;-45.120503652039325
1739209815.7739272;-45.120503652039325
1739209815.7739305;-38.13080360867914
1739209815.773934;-38.13080360867914
1739209815.7739375;-45.120503652039325
1739209815.7739408;-38.13080360867914
1739209815.7739441;-45.120503652039325
1739209815.7739477;-45.120503652039325
1739209815.773951;-38.13080360867914
1739209815.7739546;-38.13080360867914
1739209815.773958;-45.120503652039325
1739209815.7739613;-45.120503652039325
1739209815.773965;-38.13080360867914
1739209815.7739682;-38.13080360867914
1739209815.7739716;-45.120503652039325
1739209815.7739751;-38.13080360867914
1739209815.7739785;-45.120503652039325
1739209815.7739818;-45.120503652039325
1739209815.7739854;-38.13080360867914
1739209815.7739887;-45.120503652039325
1739209815.7739923;-32.816014438256545
1739209815.7739956;-38.13080360867914
1739209815.773999;-45.120503652039325
1739209815.7740026;-45.120503652039325
1739209815.774006;-29.438486411369333
1739209815.7740092;-35.57807855764607
1739209815.7740128;-45.120503652039325
1739209815.7740161;-45.120503652039325
1739209815.7740195;-45.120503652039325
1739209815.774023;-38.13080360867914
1739209815.7740264;-45.120503652039325
1739209815.77403;-38.13080360867914
1739209815.7740333;-45.120503652039325
1739209815.7740366;-38.13080360867914
1739209815.7740402;-45.120503652039325
