CAN Message; 0x62:091eea3c9ad08d62
Timestamp;Amplitude
1739209849.8470323;-38.13080360867914
1739209849.8470364;-33.981070128970906
1739209849.8470402;-45.120503652039325
1739209849.8470442;-45.120503652039325
1739209849.8470483;-45.120503652039325
1739209849.8470523;-45.120503652039325
1739209849.8470562;-45.120503652039325
1739209849.8470602;-38.13080360867914
1739209849.8470643;-35.57807855764607
1739209849.8470683;-35.57807855764607
1739209849.8470724;-45.120503652039325
1739209849.8470762;-38.13080360867914
1739209849.8470802;-38.13080360867914
1739209849.8470843;-33.981070128970906
1739209849.8470883;-45.120503652039325
1739209849.8470922;-45.120503652039325
1739209849.8470962;-35.57807855764607
1739209849.8471003;-38.13080360867914
1739209849.8471043;-45.120503652039325
1739209849.8471084;-45.120503652039325
1739209849.8471122;-38.13080360867914
1739209849.8471162;-33.981070128970906
1739209849.8471203;-31.141103565318943
1739209849.8471243;-45.120503652039325
1739209849.8471282;-35.57807855764607
1739209849.8471322;-38.13080360867914
1739209849.8471363;-38.13080360867914
1739209849.8471403;-38.13080360867914
1739209849.8471441;-38.13080360867914
1739209849.8471482;-32.816014438256545
1739209849.8471522;-31.141103565318915
1739209849.8471563;-45.120503652039325
1739209849.8471603;-45.120503652039325
1739209849.8471642;-38.13080360867914
1739209849.8471682;-45.120503652039325
1739209849.8471723;-45.120503652039325
1739209849.8471763;-38.13080360867914
1739209849.8471801;-45.120503652039325
1739209849.8471842;-35.57807855764607
1739209849.8471882;-38.13080360867914
1739209849.8471923;-38.13080360867914
1739209849.8471963;-45.120503652039325
1739209849.8472002;-35.57807855764607
1739209849.8472042;-45.120503652039325
1739209849.8472083;-45.120503652039325
1739209849.8472123;-38.13080360867914
1739209849.8472161;-35.57807855764607
1739209849.8472202;-35.57807855764607
1739209849.8472242;-38.13080360867914
1739209849.8472283;-45.120503652039325
1739209849.8472323;-45.120503652039325
1739209849.8472362;-38.13080360867914
1739209849.8472402;-38.13080360867914
1739209849.8472443;-38.13080360867914
1739209849.8472483;-33.981070128970906
1739209849.8472521;-38.13080360867914
1739209849.8472562;-45.120503652039325
1739209849.8472602;-38.13080360867914
1739209849.8472643;-38.13080360867914
1739209849.8472683;-45.120503652039325
1739209849.8472722;-45.120503652039325
1739209849.8472762;-45.120503652039325
1739209849.8472803;-45.120503652039325
1739209849.8472843;-45.120503652039325
1739209849.8472881;-38.13080360867914
1739209849.8472922;-45.120503652039325
1739209849.8472962;-38.13080360867914
1739209849.8473003;-32.816014438256545
1739209849.8473043;-45.120503652039325
1739209849.8473082;-45.120503652039325
1739209849.8473122;-38.13080360867914
1739209849.8473163;-38.13080360867914
1739209849.8473203;-45.120503652039325
1739209849.8473241;-38.13080360867914
1739209849.8473282;-38.13080360867914
1739209849.8473322;-45.120503652039325
1739209849.8473363;-32.816014438256545
1739209849.84734;-38.13080360867914
1739209849.8473442;-38.13080360867914
1739209849.8473482;-38.13080360867914
1739209849.8473523;-38.13080360867914
1739209849.8473563;-33.981070128970906
1739209849.8473601;-45.120503652039325
1739209849.8473642;-38.13080360867914
1739209849.8473682;-35.57807855764607
1739209849.8473723;-38.13080360867914
1739209849.847376;-38.13080360867914
1739209849.8473802;-38.13080360867914
1739209849.8473842;-38.13080360867914
1739209849.8473883;-38.13080360867914
1739209849.8473923;-38.13080360867914
1739209849.8473961;-38.13080360867914
1739209849.8474002;-45.120503652039325
1739209849.8474042;-31.141103565318915
1739209849.8474083;-45.120503652039325
1739209849.847412;-45.120503652039325
1739209849.8474162;-38.13080360867914
1739209849.8474202;-38.13080360867914
1739209849.8474243;-45.120503652039325
1739209849.8474283;-45.120503652039325
1739209849.8474321;-38.13080360867914
1739209849.8474362;-38.13080360867914
1739209849.8474402;-38.13080360867914
1739209849.8474443;-33.981070128970906
1739209849.847448;-38.13080360867914
1739209849.8474522;-38.13080360867914
1739209849.8474562;-45.120503652039325
1739209849.8474603;-38.13080360867914
1739209849.8474643;-38.13080360867914
1739209849.8474681;-38.13080360867914
1739209849.8474722;-38.13080360867914
1739209849.8474762;-45.120503652039325
1739209849.8474803;-45.120503652039325
1739209849.847484;-38.13080360867914
1739209849.8474882;-38.13080360867914
1739209849.8474922;-45.120503652039325
1739209849.8474963;-45.120503652039325
1739209849.8475;-45.120503652039325
1739209849.8475041;-35.57807855764607
1739209849.8475082;-32.816014438256545
1739209849.8475122;-45.120503652039325
1739209849.8475163;-45.120503652039325
1739209849.84752;-35.57807855764607
1739209849.8475242;-32.816014438256545
1739209849.8475282;-45.120503652039325
1739209849.8475323;-38.13080360867914
1739209849.847536;-38.13080360867914
1739209849.8475401;-38.13080360867914
1739209849.8475442;-38.13080360867914
1739209849.8475482;-38.13080360867914
1739209849.8475523;-45.120503652039325
1739209849.847556;-45.120503652039325
1739209849.8475602;-45.120503652039325
1739209849.8475642;-38.13080360867914
1739209849.8475683;-45.120503652039325
1739209849.847572;-33.981070128970956
1739209849.8475761;-45.120503652039325
1739209849.8475802;-45.120503652039325
1739209849.8475842;-38.13080360867914
1739209849.8475883;-45.120503652039325
1739209849.847592;-38.13080360867914
1739209849.8475962;-38.13080360867914
1739209849.8476002;-38.13080360867914
1739209849.8476043;-27.267205301931607
1739209849.847608;-45.120503652039325
1739209849.8476121;-38.13080360867914
1739209849.8476162;-45.120503652039325
1739209849.8476202;-45.120503652039325
1739209849.8476243;-38.13080360867914
1739209849.847628;-35.57807855764607
1739209849.8476322;-38.13080360867914
1739209849.8476362;-32.81601443825658
1739209849.8476403;-38.13080360867914
1739209849.847644;-33.981070128970906
1739209849.8476481;-45.120503652039325
1739209849.8476522;-45.120503652039325
1739209849.8476562;-32.816014438256545
1739209849.8476603;-38.13080360867914
1739209849.847664;-38.13080360867914
1739209849.8476682;-28.992665084841942
1739209849.8476722;-35.57807855764607
1739209849.8476763;-35.57807855764607
1739209849.84768;-45.120503652039325
1739209849.8476841;-33.981070128970906
1739209849.8476882;-35.57807855764607
1739209849.8476923;-38.13080360867914
1739209849.847696;-38.13080360867914
1739209849.8477;-35.57807855764607
1739209849.8477042;-38.13080360867914
1739209849.8477082;-38.13080360867914
1739209849.8477123;-45.120503652039325
1739209849.847716;-45.120503652039325
1739209849.8477201;-32.816014438256545
1739209849.8477242;-38.13080360867914
1739209849.8477283;-45.120503652039325
1739209849.847732;-45.120503652039325
1739209849.8477361;-45.120503652039325
1739209849.8477402;-45.120503652039325
1739209849.8477442;-45.120503652039325
1739209849.8477483;-38.13080360867914
1739209849.847752;-38.13080360867914
1739209849.8477561;-45.120503652039325
1739209849.8477602;-45.120503652039325
1739209849.8477643;-31.141103565318915
1739209849.847768;-33.981070128970906
1739209849.8477721;-33.981070128970906
1739209849.8477762;-38.13080360867914
1739209849.8477802;-38.13080360867914
1739209849.8477843;-45.120503652039325
1739209849.847788;-33.981070128970906
1739209849.8477921;-38.13080360867914
1739209849.8477962;-33.981070128970906
1739209849.8478003;-38.13080360867914
1739209849.847804;-45.120503652039325
1739209849.8478081;-45.120503652039325
1739209849.8478122;-45.120503652039325
1739209849.8478162;-38.13080360867914
1739209849.8478203;-35.57807855764607
1739209849.847824;-38.13080360867914
1739209849.8478281;-38.13080360867914
1739209849.8478322;-38.13080360867914
1739209849.8478363;-38.13080360867914
1739209849.84784;-38.13080360867914
1739209849.8478441;-38.13080360867914
1739209849.8478482;-45.120503652039325
1739209849.8478522;-45.120503652039325
1739209849.8478563;-38.13080360867914
1739209849.84786;-31.141103565318915
1739209849.8478642;-38.13080360867914
1739209849.8478682;-35.57807855764607
1739209849.8478723;-45.120503652039325
1739209849.847876;-38.13080360867914
1739209849.8478801;-38.13080360867914
1739209849.8478842;-32.816014438256545
1739209849.8478882;-45.120503652039325
1739209849.847892;-38.13080360867914
1739209849.847896;-38.13080360867914
1739209849.8479002;-45.120503652039325
1739209849.8479042;-45.120503652039325
1739209849.8479083;-38.13080360867914
1739209849.847912;-38.13080360867914
1739209849.8479161;-38.13080360867914
1739209849.8479202;-45.120503652039325
1739209849.8479242;-45.120503652039325
1739209849.847928;-38.13080360867914
1739209849.847932;-35.57807855764607
1739209849.8479362;-38.13080360867914
1739209849.8479402;-45.120503652039325
1739209849.8479443;-31.141103565318893
1739209849.847948;-38.13080360867914
1739209849.8479521;-45.120503652039325
1739209849.8479562;-38.13080360867914
1739209849.8479602;-38.13080360867914
1739209849.847964;-38.13080360867914
1739209849.847968;-45.120503652039325
1739209849.8479722;-45.120503652039325
1739209849.8479762;-45.120503652039325
1739209849.8479803;-38.13080360867914
1739209849.847984;-45.120503652039325
1739209849.8479881;-45.120503652039325
1739209849.8479922;-38.13080360867914
1739209849.8479962;-38.13080360867914
1739209849.848;-45.120503652039325
1739209849.848004;-45.120503652039325
1739209849.8480082;-38.13080360867914
1739209849.8480122;-35.57807855764607
1739209849.8480163;-35.57807855764607
1739209849.84802;-45.120503652039325
1739209849.8480241;-35.57807855764607
1739209849.8480282;-38.13080360867914
1739209849.8480322;-38.13080360867914
1739209849.848036;-38.13080360867914
1739209849.84804;-45.120503652039325
1739209849.8480442;-38.13080360867914
1739209849.8480482;-45.120503652039325
1739209849.848052;-32.816014438256545
1739209849.848056;-45.120503652039325
1739209849.8480601;-45.120503652039325
1739209849.8480642;-33.981070128970906
1739209849.8480682;-38.13080360867914
1739209849.848072;-38.13080360867914
1739209849.848076;-45.120503652039325
1739209849.8480802;-38.13080360867914
1739209849.8480842;-38.13080360867914
1739209849.848088;-35.57807855764607
1739209849.848092;-38.13080360867914
1739209849.8480961;-45.120503652039325
1739209849.8481002;-45.120503652039325
1739209849.8481042;-38.13080360867914
1739209849.848108;-38.13080360867914
1739209849.848112;-45.120503652039325
1739209849.8481162;-38.13080360867914
1739209849.8481202;-38.13080360867914
1739209849.848124;-45.120503652039325
1739209849.848128;-45.120503652039325
1739209849.8481321;-38.13080360867914
1739209849.8481362;-38.13080360867914
1739209849.8481402;-38.13080360867914
1739209849.848144;-45.120503652039325
1739209849.848148;-45.120503652039325
1739209849.8481522;-35.57807855764607
1739209849.8481562;-38.13080360867914
1739209849.84816;-38.13080360867914
