CAN Message; 0x77:3247a0842a92bf54
Timestamp;Amplitude
1739209878.9481237;-45.120503652039325
1739209878.948131;-45.120503652039325
1739209878.9481385;-38.13080360867914
1739209878.948146;-45.120503652039325
1739209878.9481535;-38.13080360867914
1739209878.948161;-32.816014438256545
1739209878.9481683;-38.13080360867914
1739209878.9481757;-45.120503652039325
1739209878.948183;-45.120503652039325
1739209878.9481905;-30.49652367304973
1739209878.9481978;-38.13080360867914
1739209878.9482055;-45.120503652039325
1739209878.9482129;-38.13080360867914
1739209878.9482203;-35.57807855764607
1739209878.9482276;-35.57807855764607
1739209878.948235;-35.57807855764607
1739209878.9482424;-45.120503652039325
1739209878.9482498;-45.120503652039325
1739209878.9482572;-38.13080360867914
1739209878.9482648;-38.13080360867914
1739209878.9482722;-38.13080360867914
1739209878.9482796;-45.120503652039325
1739209878.948287;-45.120503652039325
1739209878.9482944;-35.57807855764607
1739209878.9483018;-38.13080360867914
1739209878.9483092;-45.120503652039325
1739209878.9483168;-45.120503652039325
1739209878.9483242;-38.13080360867914
1739209878.9483316;-45.120503652039325
1739209878.948339;-31.141103565318915
1739209878.9483464;-28.992665084841942
1739209878.9483538;-45.120503652039325
1739209878.9483612;-38.13080360867914
1739209878.9483685;-38.13080360867914
1739209878.9483762;-33.981070128970906
1739209878.9483836;-45.120503652039325
1739209878.948391;-38.13080360867914
1739209878.9483984;-33.981070128970906
1739209878.9484057;-45.120503652039325
1739209878.9484131;-45.120503652039325
1739209878.9484205;-33.981070128970906
1739209878.948428;-45.120503652039325
1739209878.9484355;-45.120503652039325
1739209878.948443;-45.120503652039325
1739209878.9484503;-45.120503652039325
1739209878.9484577;-38.13080360867914
1739209878.948465;-38.13080360867914
1739209878.9484725;-45.120503652039325
1739209878.94848;-45.120503652039325
1739209878.9484875;-38.13080360867914
1739209878.948495;-38.13080360867914
1739209878.9485023;-45.120503652039325
1739209878.9485097;-38.13080360867914
1739209878.948517;-33.981070128970906
1739209878.9485245;-38.13080360867914
1739209878.9485319;-45.120503652039325
1739209878.9485393;-33.981070128970906
1739209878.948547;-38.13080360867914
1739209878.9485543;-38.13080360867914
1739209878.9485617;-45.120503652039325
1739209878.948569;-45.120503652039325
